ref,remark,category
TXNP500000,Loan EMI debit,Food
TXNP500001,Electricity bill payment,Shopping
TXNP500002,Swiggy dinner,Travel
TXNP500003,Amazon order,Business Expense
TXNP500004,UPI to grocery,Refund
TXNP500005,GST tax payment,Parking
TXNP500006,Prime Video subscription,Salary
TXNP500007,Parking fee,Fuel
TXNP500008,UPI to grocery,Travel
TXNP500009,Insurance premium debit,Service Expense
TXNP500010,Amazon order,Utility
TXNP500011,Consulting fee,Tax
TXNP500012,Wallet top-up,Refund
TXNP500013,Fuel refill HP petrol,Food
TXNP500014,Prime Video subscription,Grocery
TXNP500015,Netflix subscription,Service Expense
TXNP500016,Salary credited,Utility
TXNP500017,Insurance premium debit,EMI
TXNP500018,Gym membership,Shopping
TXNP500019,Insurance premium debit,Service Expense
TXNP500020,Parking fee,Insurance
TXNP500021,Restaurant dinner,Tax
TXNP500022,Internet broadband bill,Shopping
TXNP500023,Flight booking MakeMyTrip,Recharge
TXNP500024,Vendor payment,Wallet
TXNP500025,Salary credited,Business Expense
TXNP500026,Gym membership,Subscription
TXNP500027,Zomato lunch,Salary
TXNP500028,Swiggy dinner,Insurance
TXNP500029,Gym membership,Salary
TXNP500030,Gym membership,Refund
TXNP500031,UPI to grocery,Shopping
TXNP500032,Electricity bill payment,Shopping
TXNP500033,Fuel refill HP petrol,EMI
TXNP500034,Vendor payment,Recharge
TXNP500035,Loan EMI debit,EMI
TXNP500036,Wallet top-up,Travel
TXNP500037,Electricity bill payment,Food
TXNP500038,Restaurant dinner,Salary
TXNP500039,GST tax payment,Tax
TXNP500040,UPI to grocery,Shopping
TXNP500041,Wallet top-up,Food
TXNP500042,Netflix subscription,Insurance
TXNP500043,Fuel refill HP petrol,EMI
TXNP500044,Parking fee,Salary
TXNP500045,Vendor payment,EMI
TXNP500046,Swiggy dinner,Subscription
TXNP500047,Restaurant dinner,Recharge
TXNP500048,Prime Video subscription,Insurance
TXNP500049,Salary credited,Recharge
TXNP500050,Mobile recharge,Utility
TXNP500051,Wallet top-up,Food
TXNP500052,Consulting fee,Travel
TXNP500053,Flight booking MakeMyTrip,Grocery
TXNP500054,Amazon order,Shopping
TXNP500055,Insurance premium debit,Shopping
TXNP500056,GST tax payment,Food
TXNP500057,Internet broadband bill,Parking
TXNP500058,Parking fee,Salary
TXNP500059,Electricity bill payment,Fuel
TXNP500060,Internet broadband bill,Utility
TXNP500061,GST tax payment,Parking
TXNP500062,Electricity bill payment,Grocery
TXNP500063,Amazon order,Food
TXNP500064,Electricity bill payment,Travel
TXNP500065,Restaurant dinner,Travel
TXNP500066,Electricity bill payment,Food
TXNP500067,Restaurant dinner,EMI
TXNP500068,Insurance premium debit,Food
TXNP500069,Internet broadband bill,Shopping
TXNP500070,Prime Video subscription,Utility
TXNP500071,Salary credited,Fuel
TXNP500072,Restaurant dinner,Shopping
TXNP500073,Salary credited,Shopping
