date_bank,ref,amount_bank,account_bank,narration,date_ledger,amount_ledger,account_ledger,category,remark,match,root_cause,iso_score,iso_is_anomaly,anomaly_reason,amount_diff,days_diff,dup_ref,recommendation
,LGH300000,,,,2025-02-25,8349.0,202001234567.0,Charge,Pending doc,False,Missing in Bank,0.16864432994182155,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300001,,,,2025-05-25,-3295.0,202001234567.0,Charge,Unmapped entry,False,Missing in Bank,0.04066057018321534,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300002,,,,2025-03-26,8169.0,202001234569.0,Charge,Unmapped entry,False,Missing in Bank,0.16889947723352383,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300003,,,,2025-02-23,1016.0,202001234567.0,Utility Bills,Vendor accrual,False,Missing in Bank,0.1221327044252416,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300004,,,,2025-02-25,-4015.0,202001234569.0,Misc,Vendor accrual,False,Missing in Bank,0.026701425823095093,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300005,,,,2025-02-06,801.0,202001234568.0,Charge,Manual journal,False,Missing in Bank,0.13410423637854307,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300006,,,,2025-03-24,-4903.0,202001234567.0,Charge,Vendor accrual,False,Missing in Bank,0.058386354213442404,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300007,,,,2025-05-11,18815.0,202001234568.0,Misc,Unmapped entry,False,Missing in Bank,0.3889991803505286,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300008,,,,2025-03-25,9828.0,202001234569.0,Expense,Manual journal,False,Missing in Bank,0.22310804358120506,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300009,,,,2025-03-03,15771.0,202001234568.0,Charge,Unmapped entry,False,Missing in Bank,0.3688258185465587,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300010,,,,2025-06-30,21095.0,202001234568.0,Expense,Pending doc,False,Missing in Bank,0.41327199451973007,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300011,,,,2025-05-14,10773.0,202001234569.0,Utility Bills,Manual journal,False,Missing in Bank,0.2429733158063696,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300012,,,,2025-06-04,4018.0,202001234567.0,Utility Bills,Pending doc,False,Missing in Bank,0.02719073688569551,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300013,,,,2025-02-06,18655.0,202001234569.0,Misc,Unmapped entry,False,Missing in Bank,0.38834670966020124,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300014,,,,2025-05-06,6419.0,202001234569.0,Misc,Manual journal,False,Missing in Bank,0.10289588676031303,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300015,,,,2025-05-23,18535.0,202001234569.0,Charge,Pending doc,False,Missing in Bank,0.38870189754259277,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
